timestamp,power_plant_531c.ctr.wms.acc_gii_radiation,power_plant_531c.ctr.wms.ambient_temp,power_plant_531c.ctr.wms.ambient_temperature,power_plant_531c.ctr.wms.baromatic_pressure,power_plant_531c.ctr.wms.barometric_pressure,power_plant_531c.ctr.wms.communication_status,power_plant_531c.ctr.wms.gii_radiation,power_plant_531c.ctr.wms.ghi_radiation,power_plant_531c.ctr.wms.humidity,power_plant_531c.ctr.wms.module_temperature,power_plant_531c.ctr.wms.poa_radiation,power_plant_531c.ctr.wms.poa_radiation_accumulated,power_plant_531c.ctr.wms.rain,power_plant_531c.ctr.wms.wind_direction,power_plant_531c.ctr.wms.wind_speed
1/6/2024 0:00,5.66,,20.31,,996,,0,0,83.47,17.05,,,,45.68,1.57
1/6/2024 0:05,0,,20.02,,996,,0,0,83.85,16.73,,,,48.32,1.58
1/6/2024 0:10,0,,19.76,,996,,0,0,84.19,16.45,,,,51.25,1.54
1/6/2024 0:15,0,,19.57,,996,,0,0,84.71,16.22,,,,53.67,1.5
1/6/2024 0:20,0,,19.42,,996,,0,0,85.16,16.04,,,,61.9,1.33
1/6/2024 0:25,0,,19.25,,996,,0,0,85.66,15.87,,,,59.73,1.45
1/6/2024 0:30,0,,19.12,,996,,0,0,86.57,15.8,,,,60.75,1.59
1/6/2024 0:35,0,,19.07,,996,,0,0,87.19,15.8,,,,58.09,1.76
1/6/2024 0:40,0,,19.08,,996,,0,0,87.85,15.85,,,,55.42,1.91
1/6/2024 0:45,0,,19.16,,996,,0,0,87.92,15.93,,,,58.32,1.74
1/6/2024 0:50,0,,19.15,,996,,0,0,87.78,15.95,,,,62.66,1.57
1/6/2024 0:55,0,,19.06,,996,,0,0,87.8,15.85,,,,58.14,1.49
1/6/2024 1:00,0,,18.96,,996,,0,0,88.19,15.76,,,,59.76,1.55
1/6/2024 1:05,0,,18.9,,996,,0,0,88.68,15.72,,,,61.87,1.4
1/6/2024 1:10,0,,18.83,,996,,0,0,88.77,15.65,,,,61.63,1.3
1/6/2024 1:15,0,,18.74,,996,,0,0,89.06,15.52,,,,58.97,1.12
1/6/2024 1:20,0,,18.67,,996,,0,0,89.37,15.39,,,,69.44,0.87
1/6/2024 1:25,0,,18.57,,996,,0,0,89.37,15.14,,,,54.64,0.6
1/6/2024 1:30,0,,18.45,,996,,0,0,89.49,14.86,,,,54.74,0.62
1/6/2024 1:35,0,,18.35,,996,,0,0,89.91,14.69,,,,65.4,0.86
1/6/2024 1:40,0,,18.25,,996,,0,0,90.04,14.63,,,,79.46,1.18
1/6/2024 1:45,0,,18.1,,996,,0,0,90.09,14.6,,,,88.7,1.32
1/6/2024 1:50,0,,18.07,,996,,0,0,91.02,14.69,,,,91.76,1.16
1/6/2024 1:55,0,,18.15,,996,,0,0,91.58,14.8,,,,84.35,1.2
1/6/2024 2:00,0,,18.28,,996,,0,0,91.32,14.93,,,,74.34,1.15
1/6/2024 2:05,0,,18.36,,996,,0,0,90.85,15.01,,,,89.8,1.39
1/6/2024 2:10,0,,18.47,,996,,0,0,90.69,15.23,,,,92.21,1.68
1/6/2024 2:15,0,,18.61,,996,,0,0,90.11,15.42,,,,94.74,1.21
1/6/2024 2:20,0,,18.63,,996,,0,0,89.66,15.28,,,,100.89,0.83
1/6/2024 2:25,0,,18.6,,996,,0,0,89.66,15.12,,,,77.3,0.43
1/6/2024 2:30,0,,18.51,,996,,0,0,89.23,14.95,,,,127.96,0.44
1/6/2024 2:35,0,,18.34,,996,,0,0,88.87,14.91,,,,309.52,0.68
1/6/2024 2:40,0,,18.11,,996,,0,0,89.24,15.07,,,,310.49,0.61
1/6/2024 2:45,0,,17.98,,996,,0,0,90.02,15.15,,,,302.91,0.49
1/6/2024 2:50,0,,17.94,,996,,0,0,90.6,15.18,,,,298.94,0.7
1/6/2024 2:55,0,,17.88,,996,,0,0,90.84,15.22,,,,306.03,0.57
1/6/2024 3:00,0,,17.83,,996,,0,0,91.25,15.19,,,,288.44,0.43
1/6/2024 3:05,0,,17.82,,996,,0,0,91.55,15.18,,,,317.03,0.56
1/6/2024 3:10,0,,17.82,,996,,0,0,91.63,15.21,,,,312.78,0.58
1/6/2024 3:15,0,,17.81,,996,,0,0,91.82,15.14,,,,267.42,0.33
1/6/2024 3:20,0,,17.85,,996,,0,0,92.07,15.05,,,,309.74,0.51
1/6/2024 3:25,0,,17.85,,996,,0,0,91.84,15.11,,,,299.48,0.65
1/6/2024 3:30,0,,17.78,,996,,0,0,91.93,15.16,,,,293.54,0.67
1/6/2024 3:35,0,,17.7,,996,,0,0,91.91,15.15,,,,282.96,0.93
1/6/2024 3:40,0,,17.65,,996,,0,0,92.45,15.17,,,,271.34,1.16
1/6/2024 3:45,0,,17.58,,996,,0,0,92.58,15.15,,,,277.02,1.17
1/6/2024 3:50,0,,17.51,,996,,0,0,92.9,15.12,,,,235.89,0.64
1/6/2024 3:55,0,,17.41,,996,,0,0,92.76,14.87,,,,187.02,0.56
1/6/2024 4:00,0,,17.29,,996,,0,0,92.82,14.65,,,,210.56,0.48
1/6/2024 4:05,0,,17.19,,996,,0,0,92.96,14.54,,,,193.98,0.48
1/6/2024 4:10,0,,17.11,,996,,0,0,93.05,14.51,,,,198.19,0.55
1/6/2024 4:15,0,,17.05,,996,,0,0,93.19,14.42,,,,254.38,0.43
1/6/2024 4:20,0,,16.98,,996,,0,0,93.35,14.26,,,,270.62,0.5
1/6/2024 4:25,0,,16.96,,996,,0,0,93.58,14.1,,,,173.9,0.28
1/6/2024 4:30,0,,16.92,,996,,0,0,93.71,13.94,,,,250.22,0.34
1/6/2024 4:35,0,,16.87,,996,,0,0,93.74,13.8,,,,103.29,0.13
1/6/2024 4:40,0,,16.78,,996,,0,0,93.6,13.65,,,,0,0
1/6/2024 4:45,0,,16.68,,996,,0,0,93.66,13.45,,,,97.79,0.6
1/6/2024 4:50,0,,16.47,,996,,0,0,93.43,13.47,,,,145.26,0.45
1/6/2024 4:55,0,,16.34,,996,,0,0,93.71,13.42,,,,141.19,0.26
1/6/2024 5:00,0,,16.31,,996,,0,0,94.22,13.36,,,,45.17,0.04
1/6/2024 5:05,0,,16.3,,996,,0,0,94.38,13.27,,,,51.75,0.08
1/6/2024 5:10,0,,16.25,,996,,0,0,94.38,13.18,,,,13.1,0.02
1/6/2024 5:15,0,,16.25,,996,,0,0,94.73,13.09,,,,130.59,0.34
1/6/2024 5:20,0,,16.32,,996,,0,0,95.17,13.06,,,,61.01,0.14
1/6/2024 5:25,0,,16.37,,996,,0,0,95.4,13.07,,,,67.5,0.21
1/6/2024 5:30,0,,16.46,,996,,0,0,95.62,13.07,,,,0,0
1/6/2024 5:35,0,,16.35,,996,,0,0,95.13,13.1,,,,0,0
1/6/2024 5:40,0,,16.31,,996,,0,0,95.19,13.1,,,,8.8,0
1/6/2024 5:45,0,,16.33,,996,,0,0,95.5,13.22,,,,39.51,0.08
1/6/2024 5:50,0,,16.35,,996,,0,0,95.54,13.33,,,,110.2,0.15
1/6/2024 5:55,0,,16.47,,996,,0,0,95.95,13.41,,,,248.8,0.3
1/6/2024 6:00,0,,16.52,,996,,0,0,95.98,13.34,,,,162.87,0.56
1/6/2024 6:05,0,,16.62,,996,,0,0,96.19,13.46,,,,90.05,0.22
1/6/2024 6:10,0,,16.63,,996,,0,0,96,13.51,,,,108.54,0.16
1/6/2024 6:15,0,,16.7,,996,,0,0,96.18,13.49,,,,248.63,0.47
1/6/2024 6:20,0,,16.69,,996,,0,0,96,13.64,,,,252.19,0.73
1/6/2024 6:25,0,,16.74,,996,,0,0,96.14,13.86,,,,241.91,0.77
1/6/2024 6:30,0,,16.83,,996,,0,0,96.3,14.07,,,,199.72,0.4
1/6/2024 6:35,0,,16.85,,996,,0,0,96.19,14.1,,,,230.99,0.54
1/6/2024 6:40,0,,16.95,,996,,0,0,96.38,14.19,,,,233.7,0.6
1/6/2024 6:45,0,,17.03,,996,,0,0,96.43,14.39,,,,237.55,0.73
1/6/2024 6:50,0,,17.02,,996,,0.88,0.58,96.24,14.54,,,,235.17,0.61
1/6/2024 6:55,0,,16.92,,996,,3.97,3.45,96.03,14.58,,,,245.56,0.96
1/6/2024 7:00,0,,16.77,,996,,9.4,8.32,95.84,14.66,,,,246.16,1.06
1/6/2024 7:05,0,,16.82,,996,,16.98,15.08,96.18,14.8,,,,246.7,1.22
1/6/2024 7:10,0,,16.98,,996,,26.43,23.81,96.43,15.17,,,,258.5,0.95
1/6/2024 7:15,0.01,,17.08,,996,,36.38,33.63,96.42,15.52,,,,266.55,0.84
1/6/2024 7:20,0.01,,17.15,,996,,47.27,43.84,96.36,15.82,,,,280.72,0.63
1/6/2024 7:25,0.02,,17.23,,996,,59.13,54.86,96.31,16.16,,,,310.69,0.57
1/6/2024 7:30,0.02,,17.29,,996,,71.52,66.53,96.18,16.54,,,,301.79,0.58
1/6/2024 7:35,0.03,,17.41,,996,,86.97,79.3,96.26,16.98,,,,160.82,0.23
1/6/2024 7:40,0.04,,17.58,,996,,103.08,94.01,96.42,17.53,,,,118.67,0.51
1/6/2024 7:45,0.05,,17.72,,996,,125.36,106.07,96.02,18.09,,,,129.29,0.68
1/6/2024 7:50,0.06,,17.8,,996,,144.73,115.75,95.5,18.63,,,,18.68,0.05
1/6/2024 7:55,0.08,,17.98,,996,,161.18,128.82,95.27,19.3,,,,0,0
1/6/2024 8:00,0.09,,18.17,,996,,178.18,149.82,94.65,20.05,,,,7.22,0.01
1/6/2024 8:05,0.11,,18.38,,996,,193.31,178.47,94.18,20.77,,,,70.37,0.41
1/6/2024 8:10,0.12,,18.61,,996,,208.08,205.81,93.89,21.38,,,,25.62,0.31
1/6/2024 8:15,0.14,,18.92,,996,,225.51,229.27,93.51,22.64,,,,46.54,0.66
1/6/2024 8:20,0.16,,19.3,,996,,249.14,247.72,92.97,23.9,,,,43.38,0.97
1/6/2024 8:25,0.19,,19.7,,996,,272.83,257.38,91.84,25.03,,,,48.32,1.12
1/6/2024 8:30,0.21,,20.03,,996,,294.99,271.72,90.23,25.96,,,,53.93,1.57
1/6/2024 8:35,0.24,,20.31,,996,,316.5,288.74,88.54,26.75,,,,57.99,1.55
1/6/2024 8:40,0.27,,20.62,,996,,338.48,308.12,86.91,27.67,,,,42.89,1.51
1/6/2024 8:45,0.3,,20.89,,996,,358.79,326.21,85.21,28.35,,,,47.23,1.54
1/6/2024 8:50,0.33,,21.21,,996,,379.34,344.98,83.3,29.47,,,,46.59,1.82
1/6/2024 8:55,0.36,,21.59,,996,,396.39,360.73,81.45,30.97,,,,48.82,1.64
1/6/2024 9:00,0.4,,22.11,,996,,416.03,378.86,79.58,32.52,,,,50.48,2.08
1/6/2024 9:05,0.43,,22.66,,996,,434.95,396.66,77.12,33.79,,,,57.5,2.45
1/6/2024 9:10,0.47,,23.16,,996,,457.19,417.56,74.98,34.81,,,,49.34,2.75
1/6/2024 9:15,0.51,,23.5,,996,,474.43,433.82,73.57,35.31,,,,60.44,2.69
1/6/2024 9:20,0.55,,23.83,,996,,496.92,454.83,72.06,36.36,,,,59.28,3.15
